Accession	GeneName	Description	NC_1	NC_2	NC_3	NC_4	NC_5	HC_1	HC_2	HC_3	HC_4	HC_5	HD_1	HD_2	HD_3	HD_4	HD_5
Q8BP48	Metap1	Methionine aminopeptidase 1	3204.617676	3001.883301	3478.075928	3788.591309	3628.798584	2702.189209	2974.92627	2284.776123	3567.459961	2065.305176	2293.29248	2423.200928	3530.971924	2976.193115	1968.676147
Q8BP56	Pgghg	Protein-glucosylgalactosylhydroxylysine glucosidase	4032.135986	3321.105469	3508.078857	3306.956299	3886.5	2262.657471	2935.40918	2243.190186	3308.9729	3380.718262	4397.758789	3154.005371	4107.203613	3363.746338	3091.878662
Q8BP67	Rpl24	Large ribosomal subunit protein eL24	2481.134033	2354.594482	2407.762207	2586.354004	2540.241699	4932.635742	2685.575928	4641.02832	3367.95752	3821.211426	2555.94458	3314.868408	3126.594727	3137.423584	2825.111328
Q8BP71	Rbfox2	RNA binding protein fox-1 homolog 2	413.8865356	333.148407	560.8104248	567.8130493	460.0484924	333.5316467	434.3265076	348.3631897	549.3555298	274.8794556	457.1977539	345.4541321	406.8252869	447.4988708	445.7362366
Q8BP92	Rcn2	Reticulocalbin-2	9775.260742	7294.022461	6444.53418	7526.780273	6218.492676	4157.226563	6446.345703	5377.214844	3221.157471	6936.32373	8433.459961	7561.446289	9696.803711	6624.589355	7050.319336
Q8BP97	Rhbdd3	Rhomboid domain-containing protein 3	NaN	NaN	150.0574799	128.0350342	222.1484375	NaN	NaN	NaN	60.80357361	NaN	NaN	54.79336929	NaN	17.75639153	NaN
Q8BPB0	Mob1b	MOB kinase activator 1B	1334.082886	1175.688721	1250.953857	1411.031982	1201.178711	2304.993896	1470.053833	2024.748657	715.2590332	1745.872192	1163.55127	1623.466064	1448.664063	1948.544434	1760.312256
Q8BPB5	Efemp1	EGF-containing fibulin-like extracellular matrix protein 1	15005.32031	14245.3623	14239.55957	7026.138672	8998.418945	4635.075195	10492.58496	11556.66504	9290.540039	9225.791992	14246.17773	13599.99902	5522.956055	8038.333496	11827.36523
Q8BPE4	Tmem177	Transmembrane protein 177	613.4259033	910.0996704	737.5692749	1016.176453	805.708252	276.2813416	843.1455078	650.9428711	699.7386475	438.3018799	665.9224854	643.2746582	501.51474	663.4439087	880.3518066
Q8BPG6	Sumf2	Inactive C-alpha-formylglycine-generating enzyme 2	3120.760742	2502.850098	2846.1875	2893.895752	3094.654053	2033.105225	2173.151855	1582.07666	2149.757324	1161.583862	2631.111816	2711.143555	2555.030762	2354.615479	2028.793579
Q8BPM0	Daam1	Disheveled-associated activator of morphogenesis 1	346.8269348	512.7446289	232.2732849	341.1478882	344.9569397	497.7393188	477.8432617	593.9348145	443.1596985	534.9785767	362.760437	461.9662476	387.5101318	507.4647827	544.0430908
Q8BPM2	Map4k5	Mitogen-activated protein kinase kinase kinase kinase 5	353.4170227	425.6596985	416.4165344	518.4541016	338.1069946	317.7964478	581.3178711	492.334137	293.9235229	408.6598511	294.1647034	364.8005676	526.8327637	411.0379639	480.4914551
Q8BPN8	Dmxl2	DmX-like protein 2	435.6722412	657.8455811	559.6028442	620.2625122	597.84729	411.5319519	619.7248535	660.2663574	494.2428894	601.1994019	585.3525391	606.0227051	592.1945801	605.3070679	491.9465332
Q8BPS4	Gpr180	Integral membrane protein GPR180	187.1205292	616.742981	460.0681152	395.2180176	339.5800171	401.3240356	669.8203125	532.9534912	421.2008362	753.5324097	514.7750244	452.566803	342.9033813	325.6348572	334.34375
Q8BPU7	Elmo1	Engulfment and cell motility protein 1	929.3132324	944.5293579	1431.019775	1023.228394	1150.811157	3386.678955	1770.598755	2650.518311	2784.753174	1769.869629	1433.55835	1450.317993	1270.700195	1312.921143	1098.782715
Q8BPX9	Slc15a3	Solute carrier family 15 member 3	172.0163574	NaN	NaN	NaN	344.1169739	561.236145	226.5151672	631.6085815	265.6675415	125.8414001	189.2021942	NaN	281.7435608	68.37294006	NaN
Q8BQ30	Ppp1r18	Phostensin	581.0289307	929.5599976	1384.406128	672.3630371	398.2347412	3108.115234	2101.376465	2848.254395	1470.195313	1785.143433	1554.749756	1633.19458	1185.650024	1738.658447	1464.079346
Q8BQ47	Cnpy4	Protein canopy homolog 4	2175.990479	1631.156738	2130.162842	1852.181519	1664.178467	2458.026611	2334.572998	1884.671509	1793.232544	2194.363525	2924.344238	2428.48877	2704.997314	2447.0896	2444.682861
Q8BQ89	Lix1l	LIX1-like protein	77.05794525	42.05723953	91.46742249	29.62438393	56.54814911	88.2730484	82.76145172	90.24482727	119.7582092	47.79735947	NaN	89.55329895	NaN	NaN	40.26068115
Q8BQM4	Heatr3	HEAT repeat-containing protein 3	335.2226563	399.5594177	370.0474548	444.5386658	278.4208984	540.5065308	383.2229919	546.5297241	557.5327148	464.826355	482.0669861	329.4318237	385.3934631	360.2362061	397.9955139
Q8BQM9	Med12l	Mediator of RNA polymerase II transcription subunit 12-like protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BQS4	Eeig2	EEIG family member 2	540.8049927	313.6246948	393.4117126	332.9720154	428.6633301	201.5855408	409.1387024	425.7128601	195.2307739	285.3222046	245.5517731	295.2618713	191.0246582	328.0084534	275.8637695
Q8BQS5	Adipor2	Adiponectin receptor protein 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BQU3	Sdhaf3	Succinate dehydrogenase assembly factor 3, mitochondrial	254.7505035	NaN	311.1243896	380.5298462	131.522171	245.8450623	317.1292114	103.0328522	NaN	125.9932022	174.012619	202.4061584	NaN	274.0467224	531.5597534
Q8BQZ4	Ralgapb	Ral GTPase-activating protein subunit beta	761.6370239	1284.293579	1382.193237	1390.596924	1416.52478	1146.266968	1262.916748	1388.11438	1039.522095	1321.005615	1096.664551	1083.894531	1131.543457	1215.376587	1253.604614
Q8BQZ5	Cpsf4	Cleavage and polyadenylation specificity factor subunit 4	286.2392273	338.9358826	344.0962219	258.2681885	285.5374756	370.3499756	229.8697205	334.2010193	374.6856689	103.7748489	NaN	144.0984497	476.6320496	NaN	421.6906128
Q8BR37	Nhlrc1	E3 ubiquitin-protein ligase NHLRC1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BR63	Fam177a1	Protein FAM177A1	3573.517334	4518.956543	3842.80127	4316.18457	3223.330811	4195.384766	6524.915527	4219.424316	3769.553711	4825.213867	5815.733398	7606.026367	12439.49023	4626.185059	6031.208496
Q8BR70	Yipf6	Protein YIPF6	766.0015869	521.7150879	489.9905701	383.3895874	369.4471436	653.8098145	580.526123	641.4539795	541.916687	808.9126587	514.8707275	597.4191895	463.6307678	522.4616089	397.9580078
Q8BR76	Tmem67	Meckelin	274.0273743	362.8945007	164.4113159	114.0596695	NaN	NaN	252.492157	189.1309814	203.646759	229.8865356	245.4324341	156.2562714	NaN	NaN	NaN
Q8BR86	Kirrel3	Kin of IRRE-like protein 3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BR90	Rimoc1	RAB7A-interacting MON1-CCZ1 complex subunit 1	1545.364868	1334.720215	1271.686523	1789.660522	1537.459473	699.8028564	1023.70166	1040.435791	952.3699951	1192.749146	1589.921875	1161.200562	1841.853149	1463.826904	1350.996216
Q8BRF7	Scfd1	Sec1 family domain-containing protein 1	3607.527344	3675.235107	3343.560303	4299.115723	4186.586426	3398.559326	4171.999023	4019.485107	3610.863281	4407.848145	3399.54248	4040.022949	4448.239258	4026.921875	3995.320557
Q8BRG6	Klhl24	Kelch-like protein 24	NaN	NaN	NaN	140.7852173	NaN	164.5993347	122.9040451	194.3449249	NaN	205.5518799	184.6851807	111.2252655	147.3463745	NaN	NaN
Q8BRG8	Tmem209	Transmembrane protein 209	513.4970093	687.0265503	929.5987549	669.8621826	805.6244507	576.2953491	722.2716064	690.3832397	604.7720947	745.1424561	512.0803833	526.2154541	536.9219971	536.0875244	572.4245605
Q8BRH0	Tmtc3	Protein O-mannosyl-transferase TMTC3	1001.765259	1630.308472	1640.667114	1576.851563	1470.042603	1283.452637	1404.405518	1352.859863	1276.169678	1086.783569	1240.37146	1134.801392	902.5574341	1154.882568	1143.375977
Q8BRK9	Man2a2	Alpha-mannosidase 2x	3509.723877	5249.842773	3797.105225	4260.757813	4095.388184	2428.928467	4804.598633	3413.766602	3423.050293	4259.890137	4607.862305	4125.762695	4540.913086	3958.075439	4050.33252
Q8BRM2	Gorab	RAB6-interacting golgin	128.2324219	200.304306	77.04663086	166.2980652	76.6304245	307.045105	303.4820251	194.2329254	317.2921448	149.824234	164.6176453	234.7713013	164.2382813	207.0532227	184.9923859
Q8BRN9	Cc2d1b	Coiled-coil and C2 domain-containing protein 1B	1063.345947	1483.371948	1541.60498	1578.38562	1061.452637	1959.441772	1599.145874	1823.396362	1532.453735	1788.689941	1677.422729	1445.79187	1485.864624	1828.957153	1963.006714
Q8BRT1	Clasp2	CLIP-associating protein 2	1101.562256	998.866394	1100.605225	959.8060303	857.4072876	996.9551392	1210.824951	1596.856812	1062.784546	1356.410156	1164.363037	1214.904053	1330.354492	1547.704346	1437.162109
Q8BRV5	Kiaa1671	Uncharacterized protein KIAA1671	155.5077972	112.0037766	245.4628448	247.0148163	153.1743622	119.1993408	175.9217377	103.6670151	154.6636047	199.3769073	269.879425	71.66478729	346.6708679	218.4411011	171.508194
Q8BS35	Agmo	Alkylglycerol monooxygenase	234.8608551	624.7720947	389.1317139	363.8630981	409.6181641	179.3031616	257.6172791	302.5480652	214.6826935	292.6263733	351.4253845	200.3593597	319.7540588	341.7108154	405.4220276
Q8BS39	Ccdc32	Coiled-coil domain-containing protein 32	NaN	NaN	186.8096008	181.5630341	NaN	NaN	NaN	393.0719299	NaN	151.5342865	262.4534302	274.5539246	373.7388916	254.565567	NaN
Q8BS40	Cptp	Ceramide-1-phosphate transfer protein	NaN	413.0168762	304.9132385	326.1109924	353.6162109	NaN	439.7738953	325.8586121	218.7462921	527.2945557	435.432373	396.5302734	204.5960236	401.8939514	386.7515259
Q8BS95	Gpr89	Golgi pH regulator	376.7139587	327.3934937	123.2528687	335.0252991	198.9864655	338.6646118	505.0659485	388.321228	152.8939667	387.5864868	169.0604248	NaN	176.2962189	287.9240112	193.7140503
Q8BSD5	She	SH2 domain-containing adapter protein E	175.0643921	373.5806274	359.1423645	NaN	202.2673798	253.1126709	628.0910645	446.3641968	189.6312866	463.3130493	285.5487671	359.5300598	444.4959717	314.0753479	380.4882813
Q8BSE0	Rmdn2	Regulator of microtubule dynamics protein 2	516.4220581	837.3225708	455.0014038	698.4830322	750.6195068	744.4987793	707.5612183	811.7094727	848.1224976	610.0131226	473.2463379	891.4003296	710.5636597	582.7255249	817.3904419
Q8BSF4	Pisd	Phosphatidylserine decarboxylase proenzyme, mitochondrial	329.5141296	567.2184448	725.7644653	521.7939453	414.3412476	531.4555664	605.461792	838.1390381	517.1152344	570.0654297	391.9508362	536.7108765	504.8070679	330.6997681	520.635498
Q8BSI6	R3hcc1	R3H and coiled-coil domain-containing protein 1	145.8947296	164.8112488	170.7858429	260.6208191	205.2535248	116.985733	91.93923187	99.1390152	208.9282379	242.5267487	182.268158	296.599884	444.700531	264.3759155	506.2587585
Q8BSK8	Rps6kb1	Ribosomal protein S6 kinase beta-1	1059.565796	1326.40564	1255.609863	1731.947876	1777.655029	862.8885498	893.0708618	1392.062012	1238.740601	1313.680176	1524.792725	1262.874756	1628.698853	1205.590332	1565.484741
Q8BSL7	Arf2	ADP-ribosylation factor 2	1353.025757	1883.137207	2003.515625	1006.818604	1190.005493	554.9871826	1894.698364	1451.57251	1313.910034	1789.885254	1574.872192	1417.144531	2255.173828	1701.906494	2109.346191
Q8BSM7	Slc43a1	Large neutral amino acids transporter small subunit 3	2502.996338	1948.038818	1442.727417	3076.438477	2906.662842	285.4254761	903.6073608	457.1407776	353.9034119	653.4977417	1209.0802	718.5501709	1361.30481	1676.325317	1237.663574
Q8BSQ9	Pbrm1	Protein polybromo-1	164.4952087	109.9884262	115.1860352	82.39149475	125.6642303	275.1253052	111.2909546	141.3119812	175.1504364	99.76366425	72.91231537	118.2617722	57.94271469	126.8678436	85.48160553
Q8BSS9	Ppfia2	Liprin-alpha-2	1947.750488	1870.20874	2023.718262	1981.134277	2119.176025	2523.73999	2168.257568	2840.634033	2217.068604	2243.585693	2626.473389	2489.834717	2058.366699	2505.06543	2315.521973
Q8BSU7	Mob3a	MOB kinase activator 3A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BSY0	Asph	Aspartyl/asparaginyl beta-hydroxylase	12755.8916	11446.94727	10111.47266	12354.30859	10913.06738	13556.11719	10335.28223	15576.12598	9135.323242	17471.31641	12730.8623	11917.0166	14235.875	18262.54297	17787.21484
Q8BT07	Cep55	Centrosomal protein of 55 kDa	NaN	NaN	NaN	NaN	NaN	717.1256714	318.635376	357.5231323	270.4430847	NaN	131.9713898	249.9800873	NaN	NaN	254.0161743
Q8BT14	Cnot4	CCR4-NOT transcription complex subunit 4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BT51	COA4	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial	499.0692749	686.8076172	455.9962463	367.6396179	NaN	927.2437134	436.4545593	672.4968262	757.9209595	612.5139771	818.1379395	561.8844604	872.9777832	537.7330322	467.0152588
Q8BT60	Cpne3	Copine-3	7043.642578	9673.168945	6529.452148	6259.320801	6375.464355	8345.583984	7138.340332	7966.135742	7577.393066	6845.525391	6836.466797	6234.907227	5883.604004	6664.616699	6830.737305
Q8BTC1	Uqcc6	Ubiquinol-cytochrome c reductase complex assembly factor 6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BTE0	Sdhaf4	Succinate dehydrogenase assembly factor 4, mitochondrial	1319.398438	753.7050781	945.6697998	975.7671509	1117.723877	666.4276123	831.2919922	818.8810425	746.6821899	1268.59021	1308.835083	1035.348999	1715.016602	1197.190918	1647.66748
Q8BTE5	Cebpzos	Protein CEBPZOS	NaN	239.5824738	182.2115936	289.822937	295.6771545	301.5788879	180.2030029	166.6072083	194.9794769	134.92453	NaN	NaN	309.0122375	157.8607941	NaN
Q8BTE6	Wfdc21	Protein Wfdc21	56.69529343	25.44192314	201.9507751	NaN	NaN	1291.032593	135.1287079	140.0250702	373.1488342	220.8947449	271.6128235	294.5260315	89.33876038	617.4058838	264.4962463
Q8BTF7	Lig4	DNA ligase 4	1690.799438	1301.03418	1440.870483	1532.255859	1521.606323	4435.127441	1121.235962	1633.574951	5392.560547	857.8503418	1291.359619	1415.99231	2726.360352	1109.448486	265.1511841
Q8BTG3	Tcp11l1	T-complex protein 11-like protein 1	400.7799988	293.2902527	422.7885437	573.9193726	587.1928711	596.4853516	230.2361603	433.099762	597.1141968	515.2958984	369.6852722	423.2260132	556.0160522	497.7178955	389.390686
Q8BTH8	Csnk1g1	Casein kinase I isoform gamma-1	246.5592194	358.7171326	379.4418945	307.151886	252.694397	415.9536133	402.0334167	574.5508423	474.7467651	526.1117554	390.3416443	491.8438721	323.3152771	358.8252563	425.8187256
Q8BTI7	Ankrd52	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	NaN	NaN	NaN	NaN	95.77455902	231.9422302	167.2749023	222.7563629	151.9073639	79.13459778	125.8292847	149.3529358	151.6154785	119.9060898	NaN
Q8BTI8	Srrm2	Serine/arginine repetitive matrix protein 2	979.9667969	1143.788696	1095.801147	1102.46167	725.6422729	1150.586426	1215.233643	1342.747437	1083.90564	1092.431885	942.1535034	1351.791748	999.6147461	1174.034058	1254.271851
Q8BTI9	Pik3cb	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	1415.459473	1417.311401	1339.055176	2304.670898	2342.994141	1345.378784	1198.4646	1390.293335	1263.957886	1267.536133	1339.872192	1362.978149	1467.409302	1412.12915	1229.324829
Q8BTJ4	Enpp4	Bis(5'-adenosyl)-triphosphatase enpp4	7779.342285	6667.521484	5428.962891	7459.512207	7098.244141	4558.316406	5526.292969	4453.596191	5519.631348	4761.245605	6147.970703	5410.215332	8256.572266	6152.550293	5118.292969
Q8BTM8	Flna	Filamin-A	11481.28711	16689.61328	11933.8457	7584.319824	10404.35449	54275.84375	26607.12109	32437.60352	26575.55859	24042.7832	20455.59375	16538.94922	13868.04395	17653.91797	15628.80078
Q8BTR5	Dusp28	Dual specificity phosphatase 28	400.6297607	447.0643311	501.2772827	722.6741943	471.6669617	270.7796326	393.3059082	279.7267761	209.8286438	249.5619049	481.9263916	566.8063965	436.6201172	428.8384705	437.9642944
Q8BTS4	Nup54	Nuclear pore complex protein Nup54	1053.442261	870.2142334	1111.083984	1493.468628	1324.814819	1456.540894	1126.647827	1189.964233	1074.108276	884.4572754	652.0986938	829.9698486	1064.296021	901.6204834	1145.847778
Q8BTU1	Cfap20	Cilia- and flagella-associated protein 20	603.1188354	574.7224731	344.3251648	547.4153442	365.2230225	464.8536987	687.1502686	689.1213379	155.5547333	547.3702393	346.1626282	620.3032227	584.7921753	664.7090454	704.4885864
Q8BTV1	Tusc3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TUSC3	896.5457764	1248.046143	1466.78833	642.8723755	1048.393677	964.9832764	1094.422485	1093.737793	839.4404297	929.9411621	952.2528076	978.7723999	1259.310913	731.104187	697.7913208
Q8BTV2	Cpsf7	Cleavage and polyadenylation specificity factor subunit 7	1052.383179	688.6183472	1115.100952	787.9614868	944.0567017	1314.454834	1047.154663	1430.800781	1078.941406	1105.090942	751.1351929	845.7375488	452.2704468	935.3469849	1013.494202
Q8BTW3	Exosc6	Exosome complex component MTR3	480.3694763	286.9094849	428.8531189	610.3711548	797.6987915	1301.328979	456.6379089	771.9512329	528.8464355	572.814209	370.7625122	474.8852539	340.2336426	465.9058533	631.1417847
Q8BTW9	Pak4	Serine/threonine-protein kinase PAK 4	NaN	197.1846008	77.75721741	NaN	NaN	269.7272034	86.45133209	372.1914673	NaN	NaN	NaN	147.1479797	NaN	NaN	265.6182556
Q8BTX9	Hsdl1	Inactive hydroxysteroid dehydrogenase-like protein 1	989.3630371	1554.31311	1039.864624	1098.412109	1187.786011	1353.027466	1196.982788	1507.570679	1232.475342	1177.742554	880.5543823	1040.031494	755.1247559	992.7171631	1036.603394
Q8BTY1	Kyat1	Kynurenine--oxoglutarate transaminase 1	2887.462646	4140.899414	3925.334229	2777.579346	2640.130371	1758.728882	2562.924072	1500.446289	2505.119629	1381.518066	2142.493164	3164.372314	2681.810303	1806.901733	5138.27002
Q8BTY2	Slc4a7	Sodium bicarbonate cotransporter 3	537.5396118	1002.353577	539.8603516	664.5618896	653.184082	981.3040161	887.0836792	836.7756348	929.3114014	1158.237549	730.5687866	683.848999	793.5652466	850.1742554	898.4713135
Q8BTY8	Scfd2	Sec1 family domain-containing protein 2	1523.80127	1411.810547	1681.423462	1779.353027	1799.431641	1326.772339	1665.740967	1576.800781	1342.649536	1607.00061	1332.068359	1399.177368	1803.904907	1380.976807	1616.270386
Q8BTZ4	Anapc5	Anaphase-promoting complex subunit 5	551.1895752	704.5144653	611.8833618	590.0471802	553.3185425	487.4632568	553.7049561	640.1351318	633.5462036	477.6057739	501.8764343	456.8319702	417.1585693	660.3067627	523.8330078
Q8BTZ5	Ankrd46	Ankyrin repeat domain-containing protein 46	1607.082397	1163.258911	1006.089722	1330.586426	1361.902832	690.289978	1313.972046	1222.365723	912.2937012	1253.746826	1623.649902	1356.847046	2116.13916	1572.657715	1593.092896
Q8BTZ7	Gmppb	Mannose-1-phosphate guanylyltransferase catalytic subunit beta	3688.957764	3788.13501	4671.424316	3935.334961	4465.889648	5301.504395	3863.101563	4380.019043	5436.734375	4245.953613	4167.936523	3937.617676	5595.710938	3984.184082	3543.204102
Q8BU03	Pwp2	Periodic tryptophan protein 2 homolog	331.9804688	389.1337891	343.0121765	364.639801	532.7783813	787.2792969	319.1770935	391.1198425	456.5939636	485.9049377	399.3289795	322.1156006	230.0003662	444.458252	333.8429565
Q8BU04	Ubr7	Putative E3 ubiquitin-protein ligase UBR7	657.7874756	539.0620728	491.8039856	625.888855	481.1210938	689.4091797	677.9493408	713.9102783	786.0264893	640.4463501	852.9885864	825.9005737	802.8536987	593.1734009	518.9517212
Q8BU11	Tox4	TOX high mobility group box family member 4	152.2772064	115.8325119	93.94815063	110.7034454	103.8758163	260.08078	164.7278442	165.0760345	218.3564911	84.89916229	95.96099854	167.5185242	200.6429291	95.13172913	89.61665344
Q8BU14	Sec62	Translocation protein SEC62	1826.259033	2276.304932	1763.353882	2299.892822	2691.447998	2239.81665	1957.246826	2924.99707	1821.153687	2716.39624	1701.390991	2131.992432	2839.542969	2342.533691	2197.875
Q8BU25	Pamr1	Inactive serine protease PAMR1	81.8243103	NaN	193.1557312	165.1250916	189.3326263	98.90608978	203.5636597	134.4860382	161.0466003	194.0543976	370.0342407	221.039444	158.0010223	NaN	172.9948578
Q8BU27	Ppm1m	Protein phosphatase 1M	599.5935669	585.1038818	821.9932861	985.3672485	891.4043579	805.6908569	639.5684204	643.0543823	846.6349487	614.7879639	575.1081543	757.9452515	315.2932129	411.0959473	793.1938477
Q8BU30	Iars1	Isoleucine--tRNA ligase, cytoplasmic	2402.96167	3665.725342	3185.35376	2838.50293	3209.06958	6712.186035	4194.162109	5623.052246	5205.792969	4729.497559	3223.885254	3404.683838	3798.120117	3755.654541	4888.128418
Q8BU31	Rap2c	Ras-related protein Rap-2c	6402.702637	5365.595703	5147.020996	5559.81543	5838.700195	3882.414795	5227.739746	4861.618652	4503.889648	5136.806152	5907.009766	4845.907715	6400.087891	5267.99707	5306.765137
Q8BU33	Ilvbl	2-hydroxyacyl-CoA lyase 2	2059.894531	3643.864258	3127.962158	2665.385742	2985.10083	3112.702393	2667.266357	3193.606689	2988.378906	2787.63916	2651.530273	2418.970215	3020.589355	2621.571045	2391.015137
Q8BU85	Msrb3	Methionine-R-sulfoxide reductase B3, mitochondrial	4343.827148	3059.636963	3648.1604	3897.34082	3613.097656	1957.224365	3281.765869	2188.932373	3087.672852	3522.219971	4864.32373	3872.986572	3143.131592	3646.232666	4055.779297
Q8BU88	Mrpl22	Large ribosomal subunit protein uL22m	520.8173218	415.5569153	189.6766663	745.6557007	490.3726501	466.3239746	369.5873413	711.2970581	444.708313	524.0452271	270.3752136	410.7638855	344.1120911	547.1317749	598.8643188
Q8BUB4	Wdfy2	WD repeat and FYVE domain-containing protein 2	291.2016296	557.4223633	434.0363464	355.9987488	439.0961609	682.541748	535.0465698	669.543396	681.7606812	509.7884216	337.6080322	465.2238464	503.213562	461.8608093	407.8150024
Q8BUE4	Aifm2	Ferroptosis suppressor protein 1	9774.462891	14235.85742	10058.32031	11519.89258	9934.170898	7027.166504	11421.07129	11549.86719	12731.27832	15655.97852	13776.87305	11484.11816	12733.17773	14733.36914	12566.0752
Q8BUE7	Muc20	Mucin-20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BUG5	Caps2	Calcyphosin-2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BUH1	Txnl4b	Thioredoxin-like protein 4B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BUH8	Senp7	Sentrin-specific protease 7	47.57417679	NaN	NaN	NaN	182.7767029	NaN	123.7574692	NaN	NaN	29.77115631	128.5516663	NaN	NaN	50.4618988	NaN
Q8BUK6	Hook3	Protein Hook homolog 3	3636.080322	3455.363281	3341.89624	3543.065186	2951.578125	3939.270996	3955.242188	3751.302979	3871.833008	3326.39209	4275.875977	3546.295898	4267.733398	3336.661621	3428.80249
Q8BUL6	Plekha1	Pleckstrin homology domain-containing family A member 1	116.4256134	258.5793457	225.3075256	141.3080902	163.3950806	285.4505615	278.8125916	323.8555908	193.2485199	284.2898865	304.0351563	247.6020508	216.0788727	263.0923767	293.2315369
Q8BUM3	Ptpn7	Tyrosine-protein phosphatase non-receptor type 7	NaN	NaN	219.2585602	NaN	119.4767075	1470.062622	432.6470947	857.6668091	474.0592651	639.4012451	375.5417175	332.8726807	283.3197327	252.6594391	260.3990173
Q8BUM9	Usp43	Ubiquitin carboxyl-terminal hydrolase 43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BUN5	Smad3	Mothers against decapentaplegic homolog 3	126.8880692	141.2555084	255.753952	270.6190796	136.468689	173.3220215	297.4097595	503.3812561	306.5795288	382.400238	281.5639343	399.4571228	93.54273987	367.971405	235.7184601
Q8BUR4	Dock1	Dedicator of cytokinesis protein 1	1072.740479	1622.752808	1433.754517	1555.973389	1777.441528	2167.258545	1431.104126	1816.354614	1802.188721	1681.747437	1437.033936	1501.27478	1167.115967	1487.71875	1602.860229
Q8BUR9	Mzt1	Mitotic-spindle organizing protein 1	986.7524414	369.5023499	586.1156616	434.9724426	596.0473022	545.0646362	739.2341919	550.569397	281.4529724	623.2722778	626.3103027	790.5631104	762.1973267	320.5271301	408.8953857
Q8BUV3	Gphn	Gephyrin	6087.34082	4260.725098	5579.9375	5961.087402	6120.757324	3475.691162	3178.773682	2612.701172	3615.176758	2569.58667	2833.129395	2849.271973	3456.352051	3759.505371	4372.740234
Q8BUV8	Gpr107	Protein GPR107	733.9052734	926.4935913	1073.755981	683.184082	647.8101196	1404.954956	757.9171753	1115.55957	1415.354736	529.5588989	1238.231567	845.7633667	760.5990601	645.6929321	766.0319824
Q8BUW1	Kcnk10	Potassium channel subfamily K member 10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8BUY5	Timmdc1	Complex I assembly factor TIMMDC1, mitochondrial	290.0234985	669.4797363	372.2984009	430.8097839	723.3845215	514.1136475	821.9359131	438.3535461	385.6557922	446.7996826	486.1842041	347.0637512	729.0269165	563.8087158	478.6685791
Q8BUY9	Pggt1b	Geranylgeranyl transferase type-1 subunit beta	1550.689209	1721.728516	1901.637695	1820.871094	1483.801025	1829.279419	1807.504028	1589.200806	2122.95166	1639.274658	1739.219727	1804.424927	2262.455078	1851.989624	1361.427856
Q8BV13	Cops7b	COP9 signalosome complex subunit 7b	849.4396973	696.1193237	799.8987427	783.0143433	707.8267212	1725.603516	982.2711182	1005.342651	1046.432617	875.1469727	891.6507568	947.062439	831.4168091	1020.775391	768.2563477
Q8BV49	Pyhin1	Pyrin and HIN domain-containing protein 1	299.3709412	262.5435791	375.1663818	232.5099335	290.0608215	644.647583	412.0913086	655.486084	536.059082	390.4012756	233.4478302	385.0173035	219.4202576	886.5167847	260.8870239
Q8BV57	Ssc5d	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	13584.68359	7171.901855	11176.38379	5967.90332	10506.87402	37735.99609	10674.33984	11762.83203	21941.36719	14159.42969	10523.12402	30949.23438	6810.558105	9416.026367	6816.731445
Q8BVA2	Tmem222	Transmembrane protein 222	1305.080444	1586.611938	1246.356567	1220.134521	953.4363403	965.281189	1205.723999	1564.94519	993.6865234	1143.404541	1523.029663	1579.342041	1249.920532	1348.683716	1657.548584
